Organization,Account,Report_Year_End,Report_Month_End,Incentive,Have_Target,Scope3,Savings_Proj_10,Invest_10,Year_MWh,Year_Scope1,Year_Scope2,CDP_Report,Savings_Proj,Savings_Real,Invest,Intensity_FTE,Intensity_Rev
Google Inc.,7616,2013,12,1,1,479388,,,3958626,41373,1245253,2014,1296,1113,1484100,31.9,2.32E-05
Eli Lilly & Co.,5377,2013,12,1,1,299565,,,3777833,474244,1129156,2014,51509,45815,15497017,42.3,69.4
Ecolab Inc.,5154,2013,12,1,1,335423,,,2095018,396424,233406,2014,3646,1615.2,725219,13.87,48.4
eBay Inc.,5197,2013,12,0,1,49211,,,695194,28090,222892,2014,80925,21982,0,7.89,1.60E-05
Eaton Corporation,5194,2013,9,1,1,28132500,,,1858800,112000,663300,2014,23112,2868,1743807,10.6,4.77E-05
Eastman Kodak Company,5163,2013,12,1,0,0,,,2746000,654000,161000,2014,0,0,0,,
Eastman Chemical Company,5169,2013,12,1,1,0,,,0,6190000,760000,2014,1750000,150000,11300000,,
E.I. du Pont de Nemours and Company,5115,2013,12,1,1,3173000,,,44583405,13561008,4944363,2014,155900,135900,10688000,289,0.000518
"DW Morgan, LLC",30498,2013,12,0,1,4086.25,,,1433.26,4086.25,276.2,2014,850,400,80000,22.7,0.000584
Dunkin' Brands Group,40271,2013,12,0,0,37763,,,29976.42,4662,4621,2014,97,97,0,8.11,1.00E-05
Duke Energy Corporation,5052,2013,12,1,1,0,,,449712775,124592000,0,2014,2303000,1303000,6000000,0.0045,0.0051
DTE Energy Company,5021,2013,12,1,0,14567368,,,112800000,36500000,2368000,2014,2200,2200.44,345635,3926,4023
Dr Pepper Snapple Group Inc,4895,2013,12,1,1,180667,,,1454469,249446,160649,2014,0,44272,410000,21.6,6.84E-05
The Dow Chemical Company,4826,2013,12,1,1,114280000,,,164212318,27730000,7570000,2014,561000,448650,0,668,617
Dover Corporation,4822,2013,12,0,1,0,,,767095,124310,255431,2014,13080,1000,302000,10.3,4.30E-05
DIRECTV,4773,2013,12,1,1,3950892,,,626171,101236,94584,2014,18105,10151,225000,6.94,6.20E-06
Devon Energy Corporation,4678,2014,1,1,1,21964,,,323544,7644606,991054,2014,468.25,468.25,2205592,1791,1204
DENTSPLY International Inc.,4562,2013,12,0,0,0,,,213805,3783,87970,2014,,,,7.45,2.93E-05
Delta Air Lines,4408,2013,12,1,1,577032.35,,,151545842.5,32137795.98,340439.84,2014,575000,134860,0,418.32,0.00086
Dell Inc.,4433,2014,1,1,1,17063085,,,874922,39745,288638,2014,59344,59344,0,,
Deere & Company,4365,2013,10,1,1,164405,,,3924776.55,460808.29,1073059.05,2014,0,0,0,22.9,40.8
Dean Foods Company,4392,2013,12,1,1,21463,,,3189046,578582,487941,2014,11680,1289,0,59.1,118.33
"Altria Group, Inc.",628,2013,12,0,1,7189,,,1444405,275499,225277,2014,80457,248,135410,55.64,2.05E-05
EMC Corporation,5395,2013,12,1,1,4771366,,,1128747,46404,401500,2014,13887,7785,4461000,6.84,1.93E-05
"EOG Resources, Inc.",5767,2013,12,0,0,0,,,444850,5786809,0,2014,0,0,0,2306,0.0004
Goodyear Tire & Rubber Company,7619,2013,12,1,1,175875848.6,,,8541473,1226653,1895713,2014,,,,44.79,0.00016
Goldman Sachs Group Inc.,7599,2013,12,1,1,1021405,,,605201,11323,248886,2014,6700,64500,2338000,6.05,5.80E-06
"Genworth Financial, Inc.",7271,2013,12,0,0,64443,,,29509,368,12989,2014,0,0,0,2.6,2.17
General Motors Company,7164,2013,12,1,1,320990526,,,21580863,2802461,5613573,2014,603300,866714,7228330188,38.78,5.41E-05
General Mills Inc.,7156,2013,5,1,1,9767301,,,3036947,291606,771157,2014,26016,14489,1260000,24.7,5.70E-05
General Electric Company,7166,2013,12,1,1,148700000,,,13800433.33,1946000,3031000,2014,15000,100000,2700000,16.21,34.08
Gap Inc.,7060,2013,12,1,1,68828,,,944392,24449,396992,2014,8062,8092,4818898,3.08,2.61E-05
Freeport-McMoRan Copper & Gold Inc.,23228,2013,12,1,0,667900,,,27304949,5859810,4321572,2014,15833,15833,3481351,292,0.000556
"Franklin Resources, Inc.",6684,2013,12,1,0,15767.5,,,94545,8852,28429,2014,498,378,763600,4.09680793,4.55E-06
Ford Motor Company,6595,2013,12,1,1,94250,,,15032862,1482020,3340267,2014,0,0,5000000,26.6,3.28E-05
Fluor Corporation,6559,2013,12,0,0,35142.1,,,149998.6,12219.4,54106.4,2014,177.3,177.3,343365,,3.7
First Solar Inc,6419,2013,12,1,1,39837,,,528939,10708,311605,2014,6089,2802,19042,65,9.70E-05
Fifth Third Bancorp,6285,2013,12,1,0,6398,,,315643,16714,101350,2014,51764,51686,8436310,5.973991803,1.73E-05
FedEx Corporation,6287,2013,5,1,1,1785437,,,56336667,13928770,970652,2014,1003805,1003805,250000,49.7,0.000336429
Fastenal Company,6163,2014,3,0,0,0,,,0,0,0,2014,,,,,
Fairchild Semiconductor,6174,2013,12,0,0,0,,,625401,130747,324752,2014,8.36,1.24,2300000,,
Exxon Mobil Corporation,6136,2013,12,1,0,292800000,,,382000000,134000000,14000000,2014,2580000,0,6600000000,1973,0.00034
Express Scripts Holding Company,11623,2013,12,1,0,13810,,,12543.74,49,10104,2014,0,10098.7,84957,4.23,0
Expeditors International of Washington,6128,2013,12,1,1,73482.89,,,108032.26,6786.63,42202.11,2014,21817689,21817689,0,3.52,0.008
Exelon Corporation,6113,2013,12,1,1,105284997,,,95697675,18696695,6269876,2014,7912300,4157089,1309722000,966.61,0.001003
Estee Lauder Companies Inc.,5885,2013,6,1,1,58310,,,272180,33242,57789,2014,7390,261,307000,2.26,9.00E-06
Entergy Corporation,5653,2013,12,1,1,17972406,,,149188370,34214242,891922,2014,7489819,11897887,2856332000,2542.5,3081.9
Ameren Corporation,661,2013,12,1,1,679121,,,162813,32978295.13,70179,2014,1228866,1194566,148500000,3557.940155,0.02557
American Express,692,2013,12,1,1,0,,,473661,24187,138913,2014,3922,63920,2682367,2.6,4.95E-06
"Constellation Brands, Inc.",3795,2014,2,1,1,469820,,,773229,139130,52833,2014,2092,1271,602687,35,32
"Consolidated Edison, Inc.",3776,2013,12,1,1,21008508.27,,,161290.3,3361491,1193349,2014,4580000,4553100,3625000000,311,0.00037
CONSOL Energy Inc.,3768,2013,12,0,0,76500000,,,2667679,8202551.49,7295893.64,2014,1001000,1001000,23648000,3345.23,248.59
ConocoPhillips,3751,2013,12,1,1,215387389,,,72872988,25761226,1625188,2014,2377000,1177000,29534154,1488,0.00047
"ConAgra Foods, Inc.",3732,2013,5,1,1,707996,,,7604009,1071303,1089063,2014,46202,3449,193500,62.85,0.000139
Compuware Corp.,3688,2013,12,1,0,3059.03,,,33901.43,1419.38,20612.5,2014,1000,1000,500000,5.05,23.33
Compatico,44653,2013,12,0,1,0,,,823.32,125.62,129.85,2014,0,102.94,10230,,1.54E-05
Comerica Incorporated,3640,2013,12,1,1,53738,,,149742,8019,67820,2014,4553,4361,3185400,8.48,2.91E-05
Colgate Palmolive Company,3551,2013,12,1,1,510523,,,1977546,232712,438018,2014,22096,6644,2842100,17.93395231,3.85E-05
Cognizant Technology Solutions Corp.,3588,2013,12,1,1,108905,,,214409,22632,170435,2014,31052,31052,600000,1.13,21.83
"Coca-Cola Enterprises, Inc.",3565,2013,12,1,1,2702469,,,753681,112225,82356,2014,59146,5126,7204000,16.7,2.61E-05
CMS Energy Corporation,3538,2013,12,0,1,16678758,,,246038,17308532.6,92724,2014,836619,836619,582628429,2340,0.00275
Clorox Company,3507,2013,12,1,1,130568,,,700609,73740,242641,2014,20000,20261,6090000,37.36,56.44
Cliffs Natural Resources Inc,22408,2013,12,1,0,6.8,,,17145844,6026261.25,3287158.73,2014,0,45472,13500712,1340,0.001637
Citigroup Inc.,3398,2013,12,1,1,9890964,,,2144539.74,37602.44,950239.41,2014,185364,62774,5758487,3.93,11.6
"Cisco Systems, Inc.",3329,2013,7,1,1,36203260,,,1762536,55811,666393,2014,450648,444190,16154000,9.16,1.49E-05
Cincinnati Financial Corporation,3358,2013,12,1,0,0,,,100475,17274,18315,2014,0,0,0,8.55,7.85
Chevron Corporation,3191,2013,12,1,1,363000000,,,84990000,56911049,4660000,2014,7894134,1287950,80000220000,1003.5,0.000279
CenturyLink,31497,2013,12,1,1,51693,,,4782449,274783,2069135,2014,0,0,0,49.87,0.00012928
Celgene Corporation,2982,2013,12,1,0,33650,,,88616.67,8206.17,9711.04,2014,20722,20722,750000,9.99,2.80E-06
CBS Corp.,2942,2013,12,1,0,0,,,0,0,0,2014,2387,833,750000,,
"CoreLogic, Inc.",28935,2014,1,0,0,0,,,0,0,0,2014,,,,,
"CBRE Group, Inc.",2885,2013,12,1,1,11455,,,177654,24596,30731,2014,30800,30800,10000,1.26,8.00E-06
Corning Incorporated,23254,2013,12,1,0,0,,,0,347157,1087184,2014,0,0,0,50,179
Crane Co.,40251,2012,12,0,0,4722,,,1374,0,1299,2014,,,,7.5,2.00E-05
Red Hat Inc,22314,2014,2,0,0,0,,,0,0,0,2014,,,,,
"Adobe Systems, Inc.",333,2013,12,1,1,569025,,,126611,10571,32486,2014,43322,44091,574652,3.914007817,1.06E-05
Actiontec Electronics,35762,2013,12,0,1,1951.92,,,1776.39,0,408,2014,0,0,0,,
Abercrombie & Fitch Co.,291,2013,12,1,0,72400,,,454390,6093,118740,2014,12830,5830,1215639,4.99,3.03E-05
AbbVie Inc,45103,2014,1,1,1,50307,,,2181555.53,320263,344304,2014,6856,2360,450000,26.58,3.50E-05
Abbott Laboratories,64,2013,12,1,1,10552000,,,3359000,471000,520000,2014,16100,14480,141100,14.4,4.50E-05
3M Company,285,2013,12,1,0,10644000,,,13794079,4550000,2230000,2014,79731,122019,26500000,,258
Flextronics International,6550,2013,12,1,1,29591,,,2103376,63936,1171473,2014,10104,10864.66,40696230,6.38,5.01E-05
Twenty-First Century Fox,13126,2013,6,1,1,225626,,,569904.62,48365,158120,2014,1800,1073.45,1912618,7.64,7.16E-06
Levi Strauss & Co.,10661,2013,11,1,1,15684,,,184382,12038,63962,2014,8857,8857,0,5.58,1.50E-05
OFS Brands,52854,2010,12,,,,,,,29080.11,16372.11,2014,,,,,
OFS Brands,52854,2011,12,,,,,,,28090.33,17398.77,2014,,,,,
OFS Brands,52854,2012,12,,,,,,,26820.13,15671.11,2014,,,,,
OFS Brands,52854,2013,12,1,1,0,,,67003.95,34162.02,16385.1,2014,11750,8950,10672000,27.55,0.19135
"Ecova, Inc.",37523,2013,12,0,0,2274,,,7849,284,3122,2014,163,140.3,2716,2.59,1.92
News Corp,50074,2013,6,1,1,16699,,,504681.29,30848,224333,2014,1535,1216,554936,10.63,30.5
"Darden Restaurants, Inc.",4322,2013,5,1,1,10225,,,3263345,376313,722810,2014,630976,134705,31573000,5.32,0.000128
Cypress Semiconductor Corporation,4109,2014,1,0,1,55045.41,,,28281.35,55768,69582,2014,2788,0,0,,
CVS Health,4151,2013,12,1,1,74000,,,3633885,193100,1466000,2014,125640,74980,18376000,7.98,1.31E-05
Cummins Inc.,4136,2013,12,1,1,4309000,,,2064853,269130,530453,2014,91400,21704,12276725,16.69,5.32E-05
CSX Corporation,4120,2013,12,1,1,259368,,,21332318,5251734,313226,2014,288600,288600,1611600000,179.51,0.0004627
Covanta Energy Corporation,3989,2013,12,1,1,0,,,38451660,4535283,20722,2014,80000,80000,0,1302,0.0028
Cargill,2802,2013,12,1,1,46725,,,51517348,8857479,6082944,2014,0,16595,38800000,93.18,0.00011
Cardinal Health Inc.,2825,2013,12,1,0,29482,,,1117682,152645,223178,2014,3148,905,1249319,11.05,3.90E-06
Capital One Financial,2695,2013,12,1,1,75905,,,522589,16829,232703,2014,0,27634,170600,5.95,11.15
"Avon Products, Inc.",1271,2013,12,1,1,11367,,,396005,63452,85055,2014,2300,1051,533800,4.1,1.50E-05
Avery Dennison Corporation,1227,2013,12,1,1,11600,,,1301349.8,156755,319408,2014,5000,1500,100000,18.3,7.76E-05
AvalonBay Communities,1219,2013,12,1,0,5737,,,310097,38088,43444,2014,2702.5,2388,0,,
"Automatic Data Processing, Inc.",1203,2013,12,0,1,118600,,,354700,14200,131600,2014,23565,23485,1070000,3.47,1.60E-05
"Autodesk, Inc.",1198,2014,1,1,1,48610,,,48100,2480,1970,2014,7150,7154,1484000,0.6,1.95E-06
AT&T Inc.,1113,2014,1,1,1,1413102,,,18627485,1007224,8103246,2014,466736,194488,593000000,37.44,70.76
Ashland Inc.,1017,2013,12,1,0,0,,,4647700,610000,500000,2014,0,0,0,,
Archer Daniels Midland,912,2011,12,,,,,,,14809727,3852992,2014,,,,,
Archer Daniels Midland,912,2012,12,,,,,,,15431577,3885465,2014,,,,,
Archer Daniels Midland,912,2013,12,1,1,0,,,56793163,14832646,2820056,2014,117000,117000,52010000,567.61,0.000197
AptarGroup,846,2013,12,1,0,916810,,,556460.8,37902,171650,2014,3859,3205,734093,16.9,8.32E-05
Applied Materials Inc.,868,2013,12,0,0,18690,,,410208,46358,146917,2014,4033,934,1257000,14,25770
Apple Inc.,865,2013,9,1,1,33863346,,,956542,30393,91505,2014,753000,59670,128250000,1.52,7.13E-07
Apache Corporation,804,2013,12,1,0,0,,,10738000,8400000,1500000,2014,422000,421866,31049800,,0.000617
Aon plc,825,2013,12,1,1,0,,,33659,2691,11242,2014,300,300,0,,35.99
Anadarko Petroleum Corporation,745,2012,12,,,,,,,13189415,716248,2014,,,,,
Anadarko Petroleum Corporation,745,2013,12,1,0,25321,,,1852090,14478082,875805,2014,47144,47141,212721000,2777,1.05
Amtrak,44672,2013,12,1,1,31526,,,3613576.47,725713.88,373948.36,2014,9260,385,5509848,54.55,0.00036
American Airlines Group Inc,660,2013,12,1,1,188470,,,108141000,27639750,409700,2014,1489600,38000,0,471,0.00105
"Amgen, Inc.",716,2013,12,1,1,130735,,,1146017,125898,262716,2014,13319,8383,9563000,19.4,21.4
American Water Works,32490,2013,12,1,1,0,,,1323150,64846,632651,2014,70000,70000,80000000,105.8,0.000269
"American International Group, Inc.",699,2013,12,1,0,0,,,0,0,0,2014,,,,,
Baker Hughes Incorporated,1356,2013,12,1,1,340600,,,992000,436000,374000,2014,82000,177640,9110000,14,3.60E-05
Ball Corporation,1328,2013,12,1,1,6708129,,,3488147,360628,898432,2014,14430,2845.3,1106044,86.83,0.000148683
Bank of America,1452,2013,12,1,1,4648738,,,3189757,112964,1335434,2014,28000,24000,6900000,6,1.61E-05
Baxter International Inc.,1574,2013,12,1,1,4267000,,,2855700,347000,468000,2014,0,0,0,14.8,55.3
Campbell Soup Company,2611,2013,7,1,1,11704,,,2704416,406476,362763,2014,41375,16979,0,37.46,95.6
Cal Development,35964,2014,6,0,0,0,,,0,0,0,2014,,,,,
Caesars Entertainment,8054,2013,12,1,1,1817581,,,2665911,234345,819782,2014,28389,28389,2104910,15.5,0.00013
Cabot Corporation,2555,2013,12,1,1,0,,,1849000,4100000,335000,2014,0,0,0,,0.00125
CA Technologies,2519,2013,12,1,1,19002.64,,,12404.84,12757,57698,2014,7434,15391.21,47775,5.32,15.38
Bunge,2407,2013,12,0,1,0,,,17638143,1337968,1417642,2014,59000,58693,0,78.73,4.50E-05
Brown-Forman Corporation,2354,2013,12,1,1,4811,,,748507,100377.82,67634.43,2014,743,724,1240000,43.53,0.00017742
BROADRIDGE FINANCIAL SOLUTIONS INC,2326,2014,5,1,0,28700,,,77966.11,22805,46333,2014,720,650,2300000,7.29,19.07
Broadcom Corporation,2320,2013,12,1,1,31341.4,,,141639,3546,56453,2014,2734.3,1019,20000,4.14,7.3
Bristol-Myers Squibb,2191,2013,12,1,1,1569070,,,1837667,280214,231380,2014,18780,9919,10592000,18.3,3.12E-05
Boston Scientific Corporation,2095,2013,12,1,1,0,,,357500,31000,96000,2014,0,0,0,,17.78
"American Electric Power Company, Inc.",689,2013,12,1,1,22400,,,373309400,120807200,107200,2014,1800000,1767900,290000000,6530,0.008
Boeing Company,2017,2013,12,1,1,296000,,,4933000,610000,1026000,2014,6000,6001,7075477,9.7,1.89E-05
Biogen Idec Inc.,1857,2013,12,1,1,232714,,,357150,49378,41376,2014,22110,1618,3342502,12.96,13.15
"Big Lots, Inc.",1822,2014,2,0,,0,,,1085471,0,463379,2014,,,,,
"Best Buy Co., Inc.",1693,2013,12,1,1,2005089,,,1911575.7,216634,496043,2014,217339,4893,1440000,6.975,1.99E-05
Bernhardt Transportation a Division of Bernhardt Furniture Company,37735,2013,12,1,0,0,,,14462.33,3780.23,269.15,2014,1000,43525,4288,0.00013336,0.00013336
Bernhardt Residential a Division of Bernhardt Furniture Company,37734,2013,12,1,0,0,,,12465.78,798,4502,2014,2280,2280,185685,10.45,4.26E-05
Bernhardt Design a Division of Bernhardt Furniture Company,35761,2013,12,1,1,0,,,15779.41,1564.56,3367.25,2014,,,,0.00612383,5.85E-05
Bemis Company,22901,2013,12,1,1,0,,,1940975,228280,596604,2014,5253,3293,1369286,0.0208,0.164
Bel Fuse Inc.,35800,2013,12,0,0,0,,,11189.92,805.99,11175.38,2014,,,,,
"Becton, Dickinson and Co.",1639,2013,9,1,1,105936,,,1273707,74416,248319,2014,51674,20035,15893000,10.77,4.01E-05
BNY Mellon,1464,2013,12,1,1,182145,,,437221,9917,206479,2014,136105,181866,4875000,4.23,1.44E-05
Raytheon Company,15541,2013,12,1,1,256292,,,1361225,102999,424108,2014,341740,40741,5605000,7.32,2.10E-05
"PepsiCo, Inc.",14605,2013,12,1,1,16754670,,,20946133,3823000,1958000,2014,450000,1080000,360000000,21.1,88.4
QUALCOMM Inc.,15419,2013,9,0,0,0,,,614773,65935,121098,2014,1385,502,0,,
The Coca-Cola Company,3564,2013,12,1,1,55135423,,,3795511,2231744,1067512,2014,280315,180025,4814191,25.26,7.04E-05
The Chubb Corporation,3293,2013,12,1,0,6166.52,,,32343,1473,10499,2014,0,0,1600,,8.58E-07
The AES Corporation,304,2013,12,1,1,0,,,278523401,75170100,167902,2014,1676646.48,69536.88,85000000,1588,0.00473
Textron Inc.,18633,2013,12,1,1,0,,,1444809,127564,470442,2014,16000,16000,0,17.3,0.049
Texas Instruments Incorporated,18640,2013,12,0,1,0,,,3124190,938159,1388729,2014,34000,34000,4682000,72.2,0.00019
Terex Corporation,18573,2013,12,0,0,0,,,499609.08,80257.14,80815.09,2014,0,0,0,7.79,2.25E-05
Teradyne Inc.,18553,2013,12,1,1,3337,,,66139,1985,25446,2014,793,653,137304,7.2,0.02
Teradata Corp.,18513,2013,12,1,1,0,,,60946,642,21854,2014,0,0,0,,1
Tenet Healthcare Corporation,18535,2013,12,0,0,0,,,0,0,0,2014,,,,,
TE Connectivity,19628,2013,9,1,1,0,,,1566656,209246,479201,2014,0,0,0,8.29,52
Target Corporation,18320,2014,2,1,1,33903,,,6044531,704580,2456557,2014,100069,36478,1897000,8.64,43.5
T. Rowe Price,18169,2013,12,1,0,5388.6,,,69633.6,849.57,34492.67,2014,2325006,2325,12639698,5.9,1.01E-05
Sysco Corporation,18155,2013,12,0,1,5649.91,,,3530708,782856,336832,2014,18119,18119,0,22.88,2.50E-05
Symantec Corporation,18125,2014,3,1,0,436268,,,314617,8511,152932,2014,578,441,705500,7.7194,2.42E-05
SunPower Corporation,30495,2013,12,1,1,79646,,,434117,4526,203329,2014,5145,5146,7020,33,8.30E-05
SunGard,29932,2013,12,1,0,28907,,,918502,0,437756,2014,0,0,0,25.75,0.00010677
Steelcase,17788,2013,12,1,1,676966.3,,,483957.39,67681.26,118957,2014,30765,29400,416500,17.95,4.79E-05
State Street Corporation,17690,2013,12,0,1,87701,,,307433,9858,110101,2014,1012,462,586000,3.84,1.17E-05
"Starwood Hotels & Resorts Worldwide, Inc",17657,2013,12,1,1,1161515.14,,,6509462.32,529022.99,2419440.2,2014,141017.63,2268,472638,16.25,0.000482
Starbucks Corporation,17652,2013,9,1,1,7326579,,,2090476,253844,830879,2014,0,0,0,5.96,72.84
"Staples, Inc.",17659,2014,1,1,1,6441,,,1299321,115040,34400,2014,9675,9590,0,2.59,6.95
"Stanley Black & Decker, Inc.",17673,2013,12,1,1,985633.52,,,939176,100165,250497,2014,19943,19943,10373600,6.92,3.19E-05
"The Hartford Financial Services Group, Inc.",8116,2013,12,1,1,54909,,,230705,23099,51265,2014,17822,13116,245000,4,2.83E-06
Sprint Nextel Corporation,17548,2013,12,1,1,3422136,,,3066707.85,54063,1474714,2014,845702,736049.4,468765000,40.63,4.31E-05
The Hershey Company,18859,2013,12,1,1,157805,,,995193,114033,257327,2014,8100,5100,3630000,26.53,4.50E-05
"The Home Depot, Inc.",8526,2013,12,1,1,2359453,,,6333014,321370,2385384,2014,42700,41000,51000000,10.19,3.40E-05
UnitedHealth Group Inc,19858,2013,12,0,1,151063.56,,,221534.69,8088.79,101308.97,2014,7186.56,7186.56,1127000,0.683736,0.896703
United Technologies Corporation,19859,2013,12,1,1,99673,,,7209121,955785,1160197,2014,31317,947,96088,,33.79
United States Steel Corporation,19905,2013,12,1,1,2019932,,,87562067,41433617,5025063,2014,1236692,1236692,0,1219.7,2666.4
United Industries,48793,2013,9,1,0,0,,,17173.69,1837.6,6607.3,2014,19.95,19.95,7588,17.56,2.16E-05
Unisys Corporation,19822,2013,12,0,0,12576,,,225939,4367,121129.1,2014,,,,4.34,3.50E-05
Union Pacific Corporation,19845,2013,12,1,1,280565,,,46383241.63,11580950,373886,2014,250023,87613,13100000,257.3976897,0.000544317
U.S. Bancorp,19593,2013,12,1,0,115720,,,803423,44076,356061,2014,10150,4400,4800000,6.23,2.00E-05
TRW Automotive Holdings Corp,34458,2013,12,1,1,0,,,1896308.86,101122,604922,2014,0,12841,4300000,10.52,4.05E-05
Trans-Expedite Inc.,37764,2013,12,0,1,1.7,,,895.4,8731.11,5.37,2014,1100,420,55000,109.14,0.000218
"TJX Companies, Inc.",19145,2014,1,1,1,21217,,,1909972,83059,696943,2014,23080,7030,4550222,4.08,2.84E-05
Time Warner Inc.,19119,2013,12,0,0,44641,,,452557,13833,195496,2014,0,0,0,6.16,7.00E-06
Tiffany & Co.,19083,2014,1,0,1,0,,,111686.75,2670,43866,2014,2800,1600,2135000,4.39,1.15E-05
Thermo Fisher Scientific Inc.,19016,2013,12,1,0,0,,,335855.5,61496,286315,2014,12950,3000,1470000,8.92,2.68E-05
"The Travelers Companies, Inc.",19377,2013,12,1,1,0,,,241896,35804,46278,2014,0,0,0,2.67,3.13E-06
The Mosaic Company,12382,2013,12,1,1,2382225,,,10802143,2793949,1616303,2014,476785,91248.1,17100000,520.69,0.00049
The J.M. Smucker Company,22360,2013,12,1,1,440538,,,1144011,148316,219597,2014,4971,3007,1213880,71.56,6.44E-05
The Hertz Corporation,8272,2013,12,1,0,0,,,461011,105910,129337,2014,1432,987,1779161,8.05,3.00E-06
Unum Group,20021,2013,12,1,1,17266,,,100606.39,8423.61,35166.09,2014,1489,1489,5744891,5.021311,4.21E-06
Spectra Energy Corp,17527,2013,12,1,1,29350720,,,1258222,8571123,640063,2014,3365142,1053412,812925000,1588,0.0017
Sonoco Products Company,23576,2013,12,1,1,355515468,,,5005394,684113,600732,2014,0,0,75000,64.56,0.265
Wyndham Worldwide Corporation,20869,2013,12,1,1,10275,,,1140511,103690,326119,2014,14765,6915,708000,13.11,8.58E-05
World Resources Institute (WRI),20812,2013,9,0,1,5719.3,,,1068.8,0.25,519.9,2014,0,0,0,1.89,10.9
Wisconsin Energy Corporation,20750,2013,12,0,0,0,,,1765000,21924000,506000,2014,,,,5101,0.0066
"Whole Foods Market, Inc.",20699,2013,12,1,0,192700,,,859088,336988,418458,2014,120000,10000,2900000,12.8,6.19E-05
WhiteWave Foods,20678,2013,12,1,1,147513,,,609993,94680,88877,2014,684,684,1081496,66.12,0.072
Whirlpool Corporation,20669,2013,12,1,0,107275296,,,2279765,210850,570743,2014,0,0,0,11.33,41.64
Weyerhaeuser Company,20612,2013,12,1,1,1327695,,,36143008,1400501,1270871,2014,247019,0,0,200,314
Western Union Co,20636,2013,12,1,,0,,,13044.2,0,0,2014,0,0,0,,
Western Digital Corp,22865,2013,6,0,1,29942,,,2672789,35565,1048582,2014,3784,3783.73,0,17,71
Wesco International,20593,2013,12,0,1,0,,,152487,21193,24925,2014,796,630,340000,5.01,6.14E-06
Wells Fargo & Company,20575,2013,12,1,1,3190327,,,2915025,104062,1272278,2014,314032,105543,22842375,5.2,1.65E-05
"WellPoint, Inc.",20595,2013,12,0,1,102941,,,235073,7854,107884,2014,0,0,0,2.4,
Waters Corporation,20523,2013,12,0,1,474648,,,126509,18164,21445,2014,660,0,0,3.17,20.8
"Waste Management, Inc.",20515,2013,12,1,1,92625,,,41055459,19895052,236977,2014,10891391,10891391,502000000,471.48,0.0015
Walt Disney Company,20384,2013,9,1,1,68396,,,5416616,866639,911387,2014,1424.4,1072.6,803081,10.16,4.00E-05
"Wal-Mart Stores, Inc.",20402,2013,12,1,1,33737323,,,43566658,6501715,14933422,2014,2141000,1262024,152000000,9.74,45
Walgreen Company,20398,2013,12,1,1,392,,,4661701,272878,2244737,2014,103587,103587,54211500,10.9,3.11E-05
"W.W. Grainger, Inc.",22861,2013,12,0,1,81924,,,439312,43481,102787,2014,1886,1886,2521000,6.17,1.69E-05
VWR International LLC,20344,2013,12,0,0,52921,,,69905.76,7396.58,14343.63,2014,897,343,300000,5.29,5.00E-06
Xcel Energy Inc.,20839,2013,12,1,1,14040395.3,,,186134018,52178081,863129.5,2014,13475601,3330742.49,260661668,4630,0.00486
Southwest Airlines Co.,17420,2013,12,0,1,225700,,,70465138,17949278,47680,2014,277000,105000,684000,401,0.00102
Xerox Corporation,20822,2013,12,1,1,209685,,,966427,123718,144781,2014,1892,1016,506000,1.88,1.30E-05
Yahoo! Inc.,20905,2013,12,1,1,138218,,,838833,9123,317446,2014,11558,213,135000,26.77,7.00E-05
Simon Property Group,17069,2013,12,1,1,702204,,,1011167,30756,451318,2014,9999,4248.9,3864000,141.79,9.00E-05
Silicon Laboratories,37884,2014,1,0,0,0,,,0,0,0,2014,,,,,
Sigma-Aldrich Corporation,16892,2013,12,1,1,74867.7,,,570529,61877,162395,2014,11388.2,2104,200000,23.86,8.33E-05
Sherwin-Williams Company,16842,2013,12,1,1,11458.82,,,1576064,263324,273240,2014,11867,11867,4100000,14.3,0.053
Sempra Energy,16652,2013,12,1,1,62425838,,,136658439,7552996,267767,2014,2381639,2381639,2116332288,457,0.0007
Sealed Air Corp.,16606,2013,12,1,1,55381,,,1564947,221528,468877,2014,11161,11161,2659618,27.6,8.98E-05
Seagate Technology LLC,16580,2013,12,0,1,5303475,,,1707108.26,310159,982858,2014,30750,10250,0,24.3,9.01E-05
Scripps Networks Interactive  Inc.,16516,2013,12,1,0,0,,,15403.91,0,15403.91,2014,,,,0.09,6.28
Schlumberger Limited,16418,2013,12,1,1,0,,,7050000,1790000,430000,2014,11368,11368,2837276,18.4,4.92E-05
SanDisk Corporation,16286,2013,12,1,1,378082.86,,,187551.51,4130.06,128409.15,2014,7145,7145.54,123467,24.279,2.15E-05
salesforce.com,16158,2014,1,1,0,38525.96,,,118498.54,6094.9,48446.58,2014,17852,15710,31899,4.1,1.34E-05
Safeway Inc.,16116,2013,12,1,1,0,,,7052295.46,1583620.69,1990753.62,2014,141614,141614.32,0,,8.09E-05
"S.C. Johnson & Son, Inc.",30450,2013,12,1,1,1989877,,,856539,84218,104096,2014,1000,0,0,14.5,2.09E-05
"Ryder System, Inc.",16072,2013,12,1,1,8435830,,,2862538,642001,110257,2014,36004,8004,3910800,26.03,0.117
Royal Caribbean Cruises Ltd,15946,2013,12,1,1,6585,,,6428426,4337542,10197,2014,145095,40952,24000000,67.9,0.546
